,Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,US Unemployment as leading/trailing
70,70,1990M12 [1990M12],United States,62.839072,61.70455381,6.254948535,62.81925188,61.74805134,24.93417858,87471.3043,6.3,,,40424.13364,39100.1,33800.3,32889.0,1.0,1.0,57.03069612,-0.7221263052206556,-0.984941512856546,,1.400035838739638
71,71,1991M01 [1991M01],Canada,73.38709677,70.6766046,6.836294543,,71.24239791,24.80967188,18187.28017,9.8,13242083776.0,10569931692.0,10291.3,11759.0,10509.2,9.523136369,1.156521739,1.156521739,,,-0.8574543821411414,,2.1778335269283264
72,72,1991M01 [1991M01],France,,73.14480119,3.303303303,75.06507028,73.34116893,34.4513414,39841.12757,7.488888889,27987358377.0,29087957912.0,21423.0,21384.0,27777.35087,26162.4774,5.120826087,0.723173104,,,-3.610416481103087,,1.6642401328474719
73,73,1991M01 [1991M01],Germany,,69.3635383,2.88,71.41327623,69.33911159,,74257.05023,4.434946304,69554915557.0,74523293995.0,39707.95536,39319.76982,40061.70324,37797.0,1.508,0.723173104,111.2750898,2.6886078041469976,,,0.9855688521406188
74,74,1991M01 [1991M01],Japan,96.17321249,96.46600373,3.860217871,,96.48033126,149.2815623,76602.57802,2.037408522,148104000000.0,148967000000.0,21325.74969,21149.37086,26520.0,22074.0,133.6891304,133.6891304,66.94383702,-1.1565644030698652,2.188149111269998,,0.4527690395164376
75,75,1991M01 [1991M01],United Kingdom,,65.52198338,7.11652788,,65.35501207,43.75787552,36881.4878,7.8,37558857532.0,39618045966.0,35930.15251,17196.0,7466.263354,7488.296296,0.517058757,0.517058757,,,-0.580602426294851,,1.7333777051062187
76,76,1991M01 [1991M01],United States,63.33887662,61.93445156,5.647058824,63.2271691,62.11724746,24.71151969,89517.11936,6.4,165893000000.0,166079000000.0,43144.42474,40243.7,34290.0,33165.0,1.0,1.0,55.97401505,-0.8731337945257648,-1.1731818853856852,,1.4222586298307436
77,77,1991M02 [1991M02],Canada,73.74551971,70.73015005,6.19504586,,71.24239791,26.75977927,16830.28087,10.2,13058474203.0,15329890570.0,11.89112127,10640.0,10378.0,10.33138237,1.1549,1.1549,,,-0.9734373978979294,,2.2667246912927475
78,78,1991M02 [1991M02],France,,73.14480119,3.303303303,75.16918272,73.53349717,37.93147452,40489.58487,7.488888889,27867073179.0,28018366899.0,29.03669438,20122.0,28398.94315,26438.14625,5.0406,0.709013401,,,-3.3938020140573943,,1.6642401328474719
79,79,1991M02 [1991M02],Germany,,69.47141316,3.04,71.73447537,69.66413868,,72304.17776,4.499884807,68761513478.0,72469502429.0,37551.54737,35862.50972,36611.64939,35494.0,1.48085,0.709013401,111.4939199,2.267299500787328,,,0.4368820200970873
